0.00.189.082 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.474.646 I srv    load_model: loading model 'D:\forPublic\.local-model-cache\nvidia\Qwen3.6-27B-NVFP4-GGUF\qwen3.6-27b-nvfp4-mtp.gguf'
0.02.223.770 W common_fit_params: failed to fit params to free device memory: n_gpu_layers already set by user to -2, abort
0.18.755.244 I srv    load_model: initializing, n_slots = 1, n_ctx_slot = 200192, kv_unified = 'false'
0.18.910.563 I srv          init: chat template supports preserving reasoning, consider enabling it via --reasoning-preserve
0.18.910.600 I srv  llama_server: model loaded
0.18.910.604 I srv  llama_server: listening on http://0.0.0.0:39195
0.22.608.913 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = -1
0.22.608.991 I slot launch_slot_: id  0 | task 0 | processing task, is_child = 0
0.25.614.074 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =   8903, progress = 1.00, t =   3.01 s / 2962.67 tokens per second
0.28.703.821 I slot print_timing: id  0 | task 0 | n_decoded =    197, tg =  65.41 t/s, tg_3s =  65.40 t/s
0.31.704.627 I slot print_timing: id  0 | task 0 | n_decoded =    405, tg =  67.36 t/s, tg_3s =  69.31 t/s
0.34.732.992 I slot print_timing: id  0 | task 0 | n_decoded =    626, tg =  69.24 t/s, tg_3s =  72.98 t/s
0.37.750.881 I slot print_timing: id  0 | task 0 | n_decoded =    827, tg =  68.58 t/s, tg_3s =  66.60 t/s
0.40.785.112 I slot print_timing: id  0 | task 0 | prompt eval time =    3082.44 ms /  8907 tokens (    0.35 ms per token,  2889.60 tokens per second)
0.40.785.128 I slot print_timing: id  0 | task 0 |        eval time =   15093.08 ms /  1024 tokens (   14.74 ms per token,    67.85 tokens per second)
0.40.785.130 I slot print_timing: id  0 | task 0 |       total time =   18175.52 ms /  9931 tokens
0.40.785.132 I slot print_timing: id  0 | task 0 |    graphs reused =        433
