0.00.210.409 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.515.546 I srv    load_model: loading model 'D:\forPublic\.local-model-cache\nvidia\Qwen3.6-27B-NVFP4-GGUF\qwen3.6-27b-nvfp4-mtp.gguf'
0.18.103.893 I srv    load_model: initializing, n_slots = 1, n_ctx_slot = 200192, kv_unified = 'false'
0.18.168.218 I srv          init: chat template supports preserving reasoning, consider enabling it via --reasoning-preserve
0.18.168.615 I srv  llama_server: model loaded
0.18.168.636 I srv  llama_server: listening on http://0.0.0.0:39195
0.22.725.098 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = -1
0.22.725.776 I slot launch_slot_: id  0 | task 0 | processing task, is_child = 0
0.28.650.334 I slot print_timing: id  0 | task 0 | n_decoded =    143, tg =  47.48 t/s, tg_3s =  47.48 t/s
0.31.665.144 I slot print_timing: id  0 | task 0 | n_decoded =    290, tg =  48.12 t/s, tg_3s =  48.76 t/s
0.34.671.521 I slot print_timing: id  0 | task 0 | n_decoded =    435, tg =  48.16 t/s, tg_3s =  48.23 t/s
0.37.689.491 I slot print_timing: id  0 | task 0 | n_decoded =    580, tg =  48.13 t/s, tg_3s =  48.05 t/s
0.40.704.825 I slot print_timing: id  0 | task 0 | n_decoded =    726, tg =  48.19 t/s, tg_3s =  48.42 t/s
0.43.722.028 I slot print_timing: id  0 | task 0 | n_decoded =    871, tg =  48.17 t/s, tg_3s =  48.06 t/s
0.46.734.738 I slot print_timing: id  0 | task 0 | n_decoded =   1017, tg =  48.21 t/s, tg_3s =  48.46 t/s
0.46.879.383 I slot print_timing: id  0 | task 0 | prompt eval time =    2912.55 ms /  8907 tokens (    0.33 ms per token,  3058.14 tokens per second)
0.46.879.393 I slot print_timing: id  0 | task 0 |        eval time =   21241.01 ms /  1024 tokens (   20.74 ms per token,    48.21 tokens per second)
0.46.879.394 I slot print_timing: id  0 | task 0 |       total time =   24153.56 ms /  9931 tokens
0.46.879.396 I slot print_timing: id  0 | task 0 |    graphs reused =       1019
0.46.879.730 I slot      release: id  0 | task 0 | stop processing: n_tokens = 9930, truncated = 0
0.49.172.770 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 45442862
0.49.288.897 I slot launch_slot_: id  0 | task 1031 | processing task, is_child = 0
0.52.430.783 I slot print_timing: id  0 | task 1031 | prompt processing, n_tokens =  10240, progress = 0.11, t =   3.14 s / 3259.22 tokens per second
0.53.088.842 I slot print_timing: id  0 | task 1031 | prompt processing, n_tokens =  12288, progress = 0.12, t =   3.80 s / 3233.76 tokens per second
0.53.749.592 I slot print_timing: id  0 | task 1031 | prompt processing, n_tokens =  14336, progress = 0.13, t =   4.46 s / 3213.87 tokens per second
0.54.436.898 I slot print_timing: id  0 | task 1031 | prompt processing, n_tokens =  16384, progress = 0.14, t =   5.15 s / 3182.62 tokens per second
0.55.129.115 I slot print_timing: id  0 | task 1031 | prompt processing, n_tokens =  18432, progress = 0.15, t =   5.84 s / 3156.06 tokens per second
0.55.836.320 I slot print_timing: id  0 | task 1031 | prompt processing, n_tokens =  20480, progress = 0.17, t =   6.55 s / 3127.96 tokens per second
0.56.561.242 I slot print_timing: id  0 | task 1031 | prompt processing, n_tokens =  22528, progress = 0.18, t =   7.27 s / 3097.78 tokens per second
0.57.301.570 I slot print_timing: id  0 | task 1031 | prompt processing, n_tokens =  24576, progress = 0.19, t =   8.01 s / 3067.15 tokens per second
0.58.069.265 I slot print_timing: id  0 | task 1031 | prompt processing, n_tokens =  26624, progress = 0.20, t =   8.78 s / 3032.23 tokens per second
0.58.867.192 I slot print_timing: id  0 | task 1031 | prompt processing, n_tokens =  28672, progress = 0.21, t =   9.58 s / 2993.44 tokens per second
0.59.683.131 I slot print_timing: id  0 | task 1031 | prompt processing, n_tokens =  30720, progress = 0.22, t =  10.39 s / 2955.49 tokens per second
1.00.527.110 I slot print_timing: id  0 | task 1031 | prompt processing, n_tokens =  32768, progress = 0.24, t =  11.24 s / 2915.77 tokens per second
1.01.388.612 I slot print_timing: id  0 | task 1031 | prompt processing, n_tokens =  34816, progress = 0.25, t =  12.10 s / 2877.43 tokens per second
1.02.292.960 I slot print_timing: id  0 | task 1031 | prompt processing, n_tokens =  36864, progress = 0.26, t =  13.00 s / 2834.81 tokens per second
